date, pm25, pm10, o3, no2, so2, co, year
2/15, 23, , 29, 5, , 2, 2022
2/16, 16, , 29, 10, , 3, 2022
2/17, 19, , 27, 9, , 3, 2022
2/18, 17, , 25, 16, , 4, 2022
2/19, 34, , 32, 13, , 4, 2022
2/20, 45, , 32, 1, , 3, 2022
2/21, 22, , 31, 4, , 3, 2022
2/22, 13, , 29, 3, , 3, 2022
2/23, 13, , 26, 7, , 3, 2022
2/24, 11, , 26, 13, , 4, 2022
2/25, 22, , 27, 14, , 4, 2022
2/26, 30, , 24, 18, , 5, 2022
2/27, 41, , 34, 14, , 5, 2022
2/28, 46, , 27, 16, , 5, 2022
3/1, 36, , 20, 7, , 4, 2022
3/2, 21, , 21, 12, , 4, 2022
3/3, 33, , 16, 9, , 4, 2022
3/4, 15, , 35, 4, , 3, 2022
3/5, 27, , 31, 4, , 4, 2022
3/6, 19, , 23, 8, , 4, 2022
3/7, 30, , 30, 12, , 5, 2022
3/8, 23, , 31, 15, , 5, 2022
3/9, 34, , 33, 9, , 2, 2022
3/10, 45, , 30, 12, , 2, 2022
3/11, 28, , 29, 15, , 2, 2022
3/12, 22, , 32, 7, , 2, 2022
3/13, 20, , 34, 2, , 1, 2022
3/14, 32, , 32, 8, , 2, 2022
3/15, 32, , 28, 4, , 1, 2022
3/16, 13, , 27, 8, , 2, 2022
3/17, 37, , 29, 2, , 1, 2022
3/18, 34, , 28, 4, , 1, 2022
3/19, 24, , 27, 2, , 1, 2022
3/20, 17, , 27, 4, , 2, 2022
3/21, 31, , 27, 12, , 3, 2022
3/22, 44, , 20, 14, , 4, 2022
3/23, 35, , 28, 2, , 2, 2022
3/24, 21, , 28, 2, , 2, 2022
3/25, 23, , 29, 2, , 2, 2022
3/26, 15, , 26, 2, , 2, 2022
3/27, 14, , 29, 1, , 1, 2022
3/28, 15, , 32, 4, , 2, 2022
3/29, 18, , 26, 2, , 2, 2022
3/30, 18, , 27, 2, , 2, 2022
3/31, 26, , 24, 7, , 2, 2022
4/1, 44, , 28, 3, , 2, 2022
1/1, 11, , 22, 11, , 2, 2022
1/2, 21, , 25, 19, , 3, 2022
1/3, 36, , 28, 7, , 2, 2022
8/8, , , 17, 1, , 2, 2022
8/24, , , 17, 1, , 2, 2022
10/2, 39, , 36, 10, , 4, 2021
10/3, 47, , 41, 11, , 4, 2021
10/4, 45, , 28, 12, , 4, 2021
10/5, 36, , 29, 2, , 2, 2021
10/6, 17, , 27, 2, , 2, 2021
10/7, 17, , 24, 2, , 2, 2021
10/8, 33, , 26, 2, , 2, 2021
10/9, 18, , 27, 4, , 3, 2021
10/10, 17, , 28, 4, , 3, 2021
10/11, 30, , 28, 3, , 2, 2021
10/12, 24, , 26, 3, , 2, 2021
10/13, 17, , 25, 5, , 2, 2021
10/14, 24, , 24, 14, , 3, 2021
10/15, 33, , 28, 18, , 4, 2021
10/16, 38, , 43, 17, , 4, 2021
10/17, 41, , 31, 3, , 2, 2021
10/18, 23, , 28, 3, , 1, 2021
10/19, 12, , 30, 6, , 2, 2021
10/20, 19, , 26, 9, , 2, 2021
10/21, 12, , 18, 4, , 2, 2021
10/22, 10, , 29, 2, , 1, 2021
10/23, 16, , 25, 2, , 2, 2021
10/24, 15, , 34, 1, , 1, 2021
10/25, 7, , 29, 3, , 2, 2021
10/26, 22, , 25, 4, , 2, 2021
10/27, 25, , 19, 9, , 3, 2021
10/28, 27, , 17, 12, , 4, 2021
10/29, 35, , 20, 9, , 4, 2021
10/30, 38, , 26, 2, , 1, 2021
10/31, 11, , 26, 4, , 2, 2021
11/1, 12, , 16, 5, , 2, 2021
11/2, 13, , 17, 10, , 3, 2021
11/3, 23, , 21, 12, , 4, 2021
11/4, 29, , 27, 5, , 2, 2021
11/5, 29, , 24, 9, , 3, 2021
11/6, 27, , 25, 6, , 2, 2021
11/7, 16, , 27, 7, , 2, 2021
11/8, 14, , 33, 11, , 3, 2021
11/9, 20, , 27, 5, 8, 3, 2021
11/10, 17, , 23, 8, , 3, 2021
11/11, 23, , 20, 16, , 4, 2021
11/12, 37, , 17, 16, , 5, 2021
11/13, 46, , 12, 15, , 5, 2021
11/14, 59, , 12, 10, , 4, 2021
11/15, 63, , 10, 10, , 3, 2021
11/16, 68, , 12, 10, , 3, 2021
11/17, 24, , 21, 15, , 3, 2021
11/18, 31, , 21, 11, , 3, 2021
11/19, 57, , 22, 8, , 3, 2021
11/20, 37, , 17, 11, , 3, 2021
11/21, 33, , 21, 15, , 4, 2021
11/22, 31, , 17, 17, , 4, 2021
11/23, 45, , 17, 17, , 4, 2021
11/24, 45, , 23, 20, , 4, 2021
11/25, 30, , 23, 16, , 4, 2021
11/26, 50, , 23, 12, , 3, 2021
11/27, 60, , 20, 19, , 5, 2021
11/28, 48, , 30, 17, , 5, 2021
11/29, 70, , 19, 17, , 5, 2021
11/30, 62, , 13, 20, , 6, 2021
12/1, 49, , 18, 28, , 7, 2021
12/2, 67, , 30, 21, , 6, 2021
12/3, 91, , 32, 7, , 3, 2021
12/7, 94, , 15, 13, , 4, 2021
12/8, 53, , 28, 6, , 2, 2021
12/9, 15, , 27, 6, , 2, 2021
12/10, 23, , 21, 12, , 3, 2021
12/11, 22, , 23, 14, , 4, 2021
12/12, 29, , 28, 3, , 2, 2021
12/13, 14, , 32, 3, , 3, 2021
12/14, 7, , 27, 8, , 3, 2021
12/15, 15, , 28, 7, , 3, 2021
12/16, 12, , 27, 8, , 3, 2021
12/17, 19, , 14, 14, , 4, 2021
12/18, 25, , 16, 13, , 4, 2021
12/19, 44, , 9, 14, , 5, 2021
12/21, 38, , 13, 15, , 2, 2021
12/22, 52, , 10, 17, , 3, 2021
12/23, 34, , 26, 6, , 1, 2021
12/24, 12, , 31, 5, , 1, 2021
12/25, 19, , 32, 1, , 1, 2021
12/26, 15, , 31, 4, , 1, 2021
12/27, 16, , 31, 3, , 1, 2021
12/28, 12, , 27, 8, , 1, 2021
12/29, 12, , 19, 11, , 2, 2021
12/30, 13, , 20, 10, , 2, 2021
12/31, 13, , 24, 10, , 2, 2021
7/2, 12, , 17, 1, , 1, 2021
7/3, 11, , 20, 1, , 1, 2021
