date, pm25, pm10, o3, no2, so2, co, year
9/20, 22, , 22, 12, 4, 2, 2019
9/21, 30, , 26, 10, 1, 3, 2019
9/22, 31, , 17, 3, , 1, 2019
9/23, 26, , 18, 8, 1, 2, 2019
9/24, 26, , 27, 17, 3, 4, 2019
9/25, 47, , 29, 17, 1, 4, 2019
9/26, 46, , 27, 7, 1, 2, 2019
9/27, 48, , 25, 4, 1, 1, 2019
9/28, 18, , 25, 3, 1, 1, 2019
9/29, 38, , 24, 5, 1, 1, 2019
9/30, 26, , 25, 6, , 1, 2019
10/1, 18, , 20, 12, 1, 2, 2019
4/2, 25, , 32, 5, 1, 2, 2019
4/3, 14, , 27, 5, 3, 2, 2019
4/4, 11, , 30, 4, 2, 2, 2019
4/5, 6, , 37, 5, , 2, 2019
4/6, 13, , 35, 3, , 2, 2019
4/7, 19, , 27, 3, , 2, 2019
4/8, 25, , 36, 5, 2, 3, 2019
4/9, 24, , 35, 4, 1, 3, 2019
4/10, 25, , 29, 6, 1, 3, 2019
4/11, 29, , 31, 8, , 3, 2019
4/12, 37, , 29, 7, 1, 3, 2019
4/13, 27, , 36, 6, 1, 3, 2019
4/14, 41, , 38, 2, , 3, 2019
4/15, 28, , 36, 4, , 3, 2019
4/16, 31, , 32, 4, 1, 3, 2019
4/17, 19, , 28, 6, 8, 5, 2019
4/18, 27, , 35, 11, 2, 4, 2019
4/19, 33, , 24, 6, 1, 2, 2019
4/20, 18, , 38, 1, 1, 2, 2019
4/21, 28, , 31, 5, , 2, 2019
4/22, 48, , 27, 9, 1, 3, 2019
4/23, 54, , 30, 17, 1, 4, 2019
4/24, 56, , 28, 11, 1, 2, 2019
4/25, 61, , 34, 3, , 1, 2019
4/26, 56, , 36, 5, , 2, 2019
4/27, 54, , 38, 1, , 2, 2019
4/28, 56, , 37, 1, , 2, 2019
4/29, 55, , 35, 3, 1, 2, 2019
4/30, 48, , 36, 3, , 2, 2019
5/1, 49, , 35, 6, 1, 2, 2019
5/2, 51, , 36, 7, 1, 2, 2019
5/3, 46, , 35, 4, 1, 2, 2019
5/4, 46, , 36, 2, , 1, 2019
5/5, 37, , 35, 1, , 1, 2019
5/6, 17, , 28, 3, , 2, 2019
5/7, 12, , 28, 3, 2, 2, 2019
5/8, 12, , 28, 3, 1, 2, 2019
5/9, 19, , 27, 2, , 2, 2019
5/10, 21, , 30, 3, , 2, 2019
5/11, 21, , 31, 1, , 2, 2019
5/12, 24, , 29, 1, , 2, 2019
5/13, 27, , 26, 2, , 2, 2019
5/14, 20, , 27, 3, , 2, 2019
5/15, 19, 17, 34, 4, , 2, 2019
5/16, 19, 10, 35, 3, 1, 2, 2019
5/17, 31, 12, 31, 3, 1, 2, 2019
5/18, 28, 9, 29, 4, , 2, 2019
5/19, 16, 6, 40, 2, , 2, 2019
5/20, 17, 11, 35, 4, 1, 2, 2019
5/21, 18, 7, 32, 3, , 2, 2019
5/22, 26, , 25, 4, 1, 2, 2019
5/23, 33, , 23, 3, , 2, 2019
5/24, 49, , 27, 3, 1, 2, 2019
5/25, 18, , 31, 1, , 2, 2019
5/26, 38, , 36, 1, , 2, 2019
5/27, 26, , 25, 2, , 2, 2019
5/28, 28, , 28, 3, , 2, 2019
5/29, 34, , 23, 3, 1, 2, 2019
5/30, 48, , 25, 2, 1, 1, 2019
5/31, 19, , 24, 4, 1, 2, 2019
6/1, 28, , 24, 2, 1, 2, 2019
6/2, 30, , 22, 1, , 2, 2019
6/3, 12, , 24, 3, 1, 2, 2019
6/4, 33, , 25, 7, 1, 2, 2019
6/5, 56, , 24, 4, 1, 2, 2019
6/6, 50, , 24, 2, , 2, 2019
6/7, 35, , 23, 6, 1, 2, 2019
6/8, 37, , 28, 7, 1, 2, 2019
6/9, 30, , 39, 14, 1, 4, 2019
6/10, 47, , 64, 16, 1, 4, 2019
6/11, 48, , 56, 16, 1, 4, 2019
6/12, 54, , 27, 6, 1, 2, 2019
6/13, 45, , 23, 2, , 1, 2019
6/14, 18, , 22, 1, 1, 1, 2019
6/15, 25, , 20, 1, , 1, 2019
6/16, 21, , 19, 1, , 1, 2019
6/17, 25, , 17, 3, 1, 1, 2019
6/18, 40, , 21, 3, 1, 2, 2019
6/19, 27, , 19, 3, 1, 2, 2019
6/20, 21, , 23, 2, 1, 1, 2019
6/21, 39, , 22, 5, 1, 2, 2019
6/22, 46, , 21, 4, 1, 2, 2019
6/23, 60, , 22, 3, 1, 2, 2019
6/24, 50, , 24, 3, 1, 2, 2019
6/25, 39, , 23, 2, 1, 1, 2019
6/26, 38, , 24, 2, 1, 1, 2019
6/27, 22, , 20, 2, 2, 1, 2019
6/28, 22, , 19, 3, 2, 1, 2019
6/29, 25, , 19, 3, 1, 1, 2019
6/30, 30, , 22, 1, , 1, 2019
7/1, 28, , 21, 3, 1, 1, 2019
1/2, 17, , 14, 24, 1, 4, 2019
1/3, 45, , 15, 24, 1, 4, 2019
1/4, 69, , 13, 26, 1, 5, 2019
1/5, 80, , 31, 6, 1, 2, 2019
1/6, 27, , 29, 4, 1, 2, 2019
1/7, 18, , 25, 18, 1, 3, 2019
1/8, 26, , 25, 15, 1, 3, 2019
1/9, 29, , 28, 7, , 2, 2019
1/10, 25, , 12, 21, 1, 5, 2019
1/11, 46, , 7, 20, 1, 4, 2019
1/12, 41, , 24, 13, 1, 3, 2019
1/13, 30, , 18, 15, 1, 3, 2019
1/14, 40, , 22, 14, 1, 3, 2019
1/15, 29, , 32, 9, , 2, 2019
1/16, 12, , 30, 5, 1, 2, 2019
1/17, 13, , 33, 3, , 2, 2019
1/18, 49, , 23, 16, 1, 4, 2019
1/19, 52, , 20, 14, 1, 4, 2019
1/20, 47, , 34, 3, , 2, 2019
1/21, 21, , 29, 7, , 2, 2019
1/22, 21, , 23, 15, 1, 4, 2019
1/23, 22, , 17, 22, 2, 6, 2019
1/24, 43, , 17, 21, 2, 6, 2019
1/25, 42, , 19, 20, 2, 5, 2019
1/26, 55, , 22, 22, 1, 6, 2019
1/27, 51, , 24, 17, 1, 5, 2019
1/28, 72, , 12, 16, 1, 4, 2019
1/29, 46, , 16, 7, 1, 2, 2019
1/30, 30, , 23, 11, 2, 3, 2019
1/31, 42, , 29, 11, , 3, 2019
2/1, 43, , 31, 8, , 2, 2019
2/2, 20, , 35, 2, , 2, 2019
2/3, 19, , 33, 2, , 2, 2019
2/4, 15, , 33, 4, , 2, 2019
2/5, 17, , 26, 8, 1, 2, 2019
2/6, 18, , 22, 14, 1, 3, 2019
2/7, 26, , 25, 15, 1, 3, 2019
2/8, 26, , 23, 11, 1, 3, 2019
2/9, 29, , 34, 7, 1, 2, 2019
2/10, 25, , 33, 6, , 2, 2019
2/11, 14, , 26, 16, 1, 3, 2019
2/12, 26, , 23, 19, 1, 4, 2019
2/13, 29, , 32, 7, , 2, 2019
2/14, 13, , 35, 3, , 2, 2019
2/15, 17, , 33, 5, 1, 3, 2019
2/16, 22, , 32, 5, , 3, 2019
2/17, 24, , 32, 4, 1, 3, 2019
2/18, 15, , 28, 11, 1, 3, 2019
2/19, 18, , 27, 14, 1, 4, 2019
2/20, 24, , 29, 5, , 3, 2019
2/21, 16, , 30, 7, , 3, 2019
2/22, 17, , 31, 8, 1, 3, 2019
2/23, 14, , 28, 12, 1, 4, 2019
2/24, 25, , 31, 9, 2, 3, 2019
2/25, 24, , 31, 5, 1, 3, 2019
2/26, 23, , 29, 3, , 3, 2019
2/27, 16, , 31, 5, 1, 3, 2019
2/28, 16, , 30, 7, , 3, 2019
3/1, 21, , 18, 20, 1, 4, 2019
3/2, 29, , 15, 14, , 3, 2019
3/3, 26, , 28, 5, 1, 3, 2019
3/4, 21, , 26, 7, , 3, 2019
3/5, 23, , 30, 13, 1, 3, 2019
3/6, 30, , 32, 3, , 2, 2019
3/7, 17, , 32, 5, 1, 2, 2019
3/8, 18, , 34, 5, , 2, 2019
3/9, 14, , 34, 4, , 2, 2019
3/10, 18, , 32, 6, , 2, 2019
3/11, 14, , 26, 12, 1, 3, 2019
3/12, 28, , 32, 6, 1, 3, 2019
3/13, 33, , 30, 8, 1, 3, 2019
3/14, 24, , 30, 13, 1, 3, 2019
3/15, 23, , 34, 11, 1, 4, 2019
3/16, 25, , 33, 9, 1, 4, 2019
3/17, 33, , 38, 12, 4, 4, 2019
3/18, 40, , 36, 17, 1, 6, 2019
3/19, 49, , 43, 9, 1, 3, 2019
3/20, 37, , 40, 5, 1, 2, 2019
3/21, 23, , 37, 6, 1, 2, 2019
3/22, 27, , 31, 8, , 3, 2019
3/23, 23, , 42, 4, 1, 2, 2019
3/24, 26, , 41, 8, 1, 2, 2019
3/25, 25, , 33, 8, 1, 2, 2019
3/26, 21, , 36, 10, 1, 2, 2019
3/27, 17, , 39, 3, 1, 2, 2019
3/28, 15, , 36, 4, 1, 2, 2019
3/29, 23, , 35, 8, 1, 2, 2019
3/30, 23, , 30, 9, 1, 3, 2019
3/31, 22, , 28, 7, 1, 3, 2019
4/1, 32, , 28, 11, 1, 3, 2019
10/2, 35, , 20, 13, 1, 2, 2018
10/3, 30, , 23, 8, , 2, 2018
10/4, 9, , 27, 4, 1, 2, 2018
10/5, 20, , 23, 9, 1, 2, 2018
10/6, 27, , 24, 7, 1, 2, 2018
10/7, 26, , 28, 8, 1, 2, 2018
10/8, 33, , 22, 10, 1, 2, 2018
10/9, 32, , 26, 4, 1, 2, 2018
10/10, 31, , 25, 6, 2, 2, 2018
10/11, 35, , 26, 8, 1, 3, 2018
10/12, 33, , 23, 12, 1, 3, 2018
10/13, 30, , 27, 7, 1, 3, 2018
10/14, 39, , 27, 5, 1, 3, 2018
10/15, 44, , 32, 14, 1, 3, 2018
10/16, 30, , 28, 18, 1, 4, 2018
10/17, 38, , 30, 9, 1, 4, 2018
10/18, 62, , 26, 10, 1, 4, 2018
10/19, 51, , 29, 15, 2, 5, 2018
10/20, 56, , 30, 6, 1, 4, 2018
10/21, 52, , 32, 3, 1, 3, 2018
10/22, 44, , 32, 4, 1, 2, 2018
10/23, 49, , 29, 7, 1, 1, 2018
10/26, 27, , 18, 10, 1, 2, 2018
10/27, 29, , 12, 4, 1, 2, 2018
10/28, 11, , 27, 4, 1, 2, 2018
10/29, 22, , 25, 10, , 2, 2018
10/30, 30, , 21, 16, 1, 3, 2018
10/31, 36, , 17, 22, 1, 6, 2018
11/1, 48, , 19, 21, 2, 5, 2018
11/2, 44, , 15, 17, 1, 5, 2018
11/3, 45, , 17, 18, 1, 5, 2018
11/4, 45, , 27, 6, 1, 2, 2018
11/5, 47, , 21, 14, 1, 4, 2018
11/6, 40, , 18, 22, 1, 5, 2018
11/7, 43, , 22, 25, 2, 6, 2018
11/8, 50, , 28, 26, 1, 6, 2018
11/9, 69, , 28, 26, 1, 9, 2018
11/10, 130, , 24, 28, 1, 11, 2018
11/11, 168, , 39, 20, 1, 9, 2018
11/12, 164, , 38, 33, 1, 10, 2018
11/13, 165, , 27, 38, 1, 11, 2018
11/14, 162, , 28, 37, 2, 11, 2018
11/15, 171, , 31, 35, 3, 13, 2018
11/16, 204, , 22, 39, 2, 16, 2018
11/17, 227, , 34, 16, 1, 8, 2018
11/18, 152, , 25, 20, 1, 7, 2018
11/19, 140, , 20, 39, 3, 12, 2018
11/20, 171, , 22, 34, 1, 9, 2018
11/21, 147, , 28, 14, 1, 4, 2018
11/22, 57, , 30, 2, , 2, 2018
11/23, 12, , 28, 5, , 3, 2018
11/24, 14, , 26, 7, 1, 3, 2018
11/25, 24, , 10, 15, 1, 5, 2018
11/26, 39, , 9, 17, 1, 5, 2018
11/27, 42, , 16, 13, , 4, 2018
11/28, 41, , 24, 10, 1, 3, 2018
11/29, 25, , 32, 2, 1, 2, 2018
11/30, 26, , 25, 6, , 2, 2018
12/1, 29, , 31, 4, , 2, 2018
12/2, 19, , 23, 10, 1, 3, 2018
12/3, 16, , 17, 12, 1, 2, 2018
12/4, 24, , 13, 17, , 3, 2018
12/5, 41, , 23, 11, , 3, 2018
12/6, 31, , 19, 16, , 4, 2018
12/7, 29, , 12, 22, 1, 6, 2018
12/8, 47, , 19, 17, 1, 5, 2018
12/9, 64, , 11, 16, 1, 5, 2018
12/10, 89, , 12, 15, 1, 4, 2018
12/11, 71, , 9, 20, 2, 6, 2018
12/12, 46, , 17, 18, 1, 5, 2018
12/13, 44, , 17, 21, 1, 5, 2018
12/14, 50, , 28, 15, 1, 4, 2018
12/15, 59, , 19, 17, , 4, 2018
12/16, 42, , 31, 7, , 3, 2018
12/17, 20, , 23, 12, , 3, 2018
12/18, 33, , 18, 17, 1, 5, 2018
12/19, 36, , 13, 19, , 5, 2018
12/20, 32, , 7, 17, 1, 5, 2018
12/21, 64, , 8, 18, , 6, 2018
12/22, 45, , 14, 14, 1, 4, 2018
12/23, 25, , 11, 15, 1, 5, 2018
12/24, 36, , 32, 9, 1, 4, 2018
12/25, 40, , 27, 5, , 3, 2018
12/26, 20, , 23, 10, 1, 4, 2018
12/27, 19, , 26, 8, 1, 3, 2018
12/28, 15, , 25, 14, 1, 5, 2018
12/29, 21, , 22, 18, 1, 6, 2018
12/30, 32, , 26, 11, 1, 5, 2018
12/31, 40, , , , , , 2018
7/2, 22, , 25, 3, , 1, 2018
7/3, 20, , 23, 4, , 1, 2018
7/4, 56, , 25, 1, , 1, 2018
7/5, 43, , 21, 5, , 1, 2018
7/6, 35, , 14, 8, , 2, 2018
7/7, 29, , 18, 3, , 1, 2018
7/8, 29, , 19, 2, , 1, 2018
7/9, 42, , 20, 4, , 1, 2018
7/10, 37, , 16, 3, , 1, 2018
7/11, 35, , 18, 3, 1, 1, 2018
7/12, 25, , 20, 4, , 1, 2018
7/13, 26, , 17, 4, , 1, 2018
7/14, 26, , 19, 2, , 1, 2018
7/15, 17, , 21, 2, , 1, 2018
7/16, 30, , 23, 3, 2, 1, 2018
7/17, 26, , 18, 4, 3, 1, 2018
7/18, 22, , 18, 2, 4, , 2018
7/19, 30, , 17, 3, 1, , 2018
7/20, 27, , , , , , 2018
7/22, 20, , 20, 1, , , 2018
7/23, 25, , 23, 3, , , 2018
7/24, 39, , 21, 3, 1, , 2018
7/25, 38, , 18, 3, 3, , 2018
7/26, 31, , 18, 2, 1, , 2018
7/27, 36, , 15, 2, 1, , 2018
7/28, 30, , 14, 1, , , 2018
7/29, 27, , 16, 1, , , 2018
7/30, 16, , 17, 2, 1, , 2018
7/31, 29, , 20, 2, , , 2018
8/1, 26, , 17, 3, 1, , 2018
8/2, 28, , 15, 2, , 1, 2018
8/3, 31, , 12, 3, 1, 1, 2018
8/4, 48, , 14, 4, 1, 1, 2018
8/5, 41, , 16, 1, , , 2018
8/6, 30, , 16, 5, 1, 1, 2018
8/7, 30, , 21, 4, , 1, 2018
8/8, 22, , 18, 3, 1, 2, 2018
8/9, 20, , 19, 6, 1, 2, 2018
8/10, 20, , 14, 4, 1, 2, 2018
8/11, 23, , 14, 1, 1, 1, 2018
8/12, 22, , 18, 1, , 1, 2018
8/13, 39, , 21, 2, , 2, 2018
8/14, 27, , 21, 6, , 2, 2018
8/15, 27, , 30, 4, , 3, 2018
8/16, 54, , 31, 5, , 3, 2018
8/17, 62, , 29, 4, 1, 3, 2018
8/18, 56, , 25, 5, 1, 3, 2018
8/19, 31, , 27, 1, , 3, 2018
8/20, 62, , 26, 2, , 3, 2018
8/21, 71, , 28, 4, , 4, 2018
8/22, 52, , 35, 3, 1, 5, 2018
8/23, 84, , 39, 5, , 6, 2018
8/24, 121, , 33, 3, , 4, 2018
8/25, 66, , 21, 3, , 3, 2018
8/26, 59, , 25, 1, , 2, 2018
8/27, 51, , 21, 3, 1, 2, 2018
8/28, 56, , 17, 3, , 2, 2018
8/29, 32, , 29, 5, , 3, 2018
8/30, 32, , 29, 4, , 2, 2018
8/31, 40, , 19, 2, , 2, 2018
9/1, 31, , 21, 2, , 1, 2018
9/2, 41, , 24, 2, , 2, 2018
9/3, 56, , 26, 2, , 2, 2018
9/4, 60, , 27, 4, , 2, 2018
9/5, 59, , 24, 4, , 3, 2018
9/6, 41, , 25, 5, , 2, 2018
9/7, 43, , 22, 4, 1, 2, 2018
9/8, 44, , 20, 2, , 2, 2018
9/9, 37, , 22, 3, 1, 2, 2018
9/10, 37, , 22, 5, 2, 2, 2018
9/11, 43, , 25, 4, 1, 2, 2018
9/12, 51, , 25, 5, 1, 1, 2018
9/13, 36, , 23, 4, , 1, 2018
9/14, 29, , 20, 4, , 1, 2018
9/15, 23, , 22, 3, , 1, 2018
9/16, 23, , 24, 4, , 1, 2018
9/17, 18, , 26, 3, , 1, 2018
9/18, 23, , 25, 3, , 1, 2018
9/19, 38, , 22, 8, 1, 2, 2018
9/20, 49, , 30, 19, 2, 4, 2018
9/21, 62, , 27, 13, 1, 3, 2018
9/22, 60, , 26, 4, 2, 2, 2018
9/23, 38, , 21, 2, 1, 1, 2018
9/24, 42, , 24, 11, 3, 3, 2018
9/25, 53, , 28, 8, 4, 2, 2018
9/26, 52, , 26, 10, 1, 2, 2018
9/27, 48, , 26, 7, 2, 2, 2018
9/28, 28, , 30, 6, , 2, 2018
9/29, 45, , 26, 3, , 1, 2018
9/30, 28, , 24, 5, , 1, 2018
10/1, 18, , 21, 14, 1, 2, 2018
4/2, 52, , 33, 6, , 3, 2018
4/3, 45, , 29, 6, , 3, 2018
4/4, 50, , 36, 6, , 3, 2018
4/5, 32, , 31, 7, , 3, 2018
4/6, 29, , 15, 7, , 3, 2018
4/7, 19, , 32, 3, , 3, 2018
4/8, 45, , 34, 7, , 3, 2018
4/9, 41, , 27, 15, , 4, 2018
4/10, 47, , 36, 6, , 2, 2018
4/11, 33, , 38, 5, , 2, 2018
4/12, 23, , 38, 6, , 2, 2018
4/13, 31, , 30, 8, , 2, 2018
4/14, 33, , 36, 10, , 3, 2018
4/15, 49, , 35, 3, , 2, 2018
4/16, 32, , 35, 8, , 3, 2018
4/17, 25, , 26, 11, , 2, 2018
4/18, 23, , 31, 9, , 3, 2018
4/19, 23, , 28, 11, , 3, 2018
4/20, 31, , 35, 9, , 3, 2018
4/21, 49, , 30, 6, , 3, 2018
4/24, 56, , 31, 5, , 3, 2018
4/25, 35, , 32, 5, , 3, 2018
4/26, 29, , 34, 5, , 3, 2018
4/27, 29, , 33, 4, , 3, 2018
4/28, 21, , 39, 3, , 3, 2018
4/29, 13, , 34, 2, , 3, 2018
4/30, 15, , 32, 7, , 3, 2018
5/1, 25, , 32, 5, , 2, 2018
5/2, 35, , 31, 5, , 1, 2018
5/3, 36, , 32, 5, , 1, 2018
5/4, 21, , 29, 5, , 1, 2018
5/5, 20, , 32, 3, , 1, 2018
5/6, 21, , 31, 2, , 1, 2018
5/7, 11, , 24, 8, , 1, 2018
5/8, 14, , 23, 5, , 1, 2018
5/9, 14, , 32, 4, , 2, 2018
5/10, 23, , 27, 8, , 2, 2018
5/11, 35, , 27, 10, , 2, 2018
5/12, 35, , 32, 6, , 1, 2018
5/13, 33, , 31, 2, , 1, 2018
5/14, 22, 21, 28, 4, , 2, 2018
5/15, 9, 19, 28, 4, , 1, 2018
5/16, 19, 7, 24, 4, , 2, 2018
5/17, 17, 15, 25, 4, 1, 2, 2018
5/18, 15, 18, 25, 3, 1, 2, 2018
5/19, 13, 23, 34, 1, , 2, 2018
5/20, 27, 12, 33, 2, , 2, 2018
5/21, 27, , 28, 5, 1, 2, 2018
5/22, 27, , 25, 4, , 2, 2018
5/23, 25, , 27, 6, , 2, 2018
5/24, 15, , 27, 5, , 2, 2018
5/25, 26, , , , , , 2018
5/28, 33, 15, 27, 5, 1, 2, 2018
5/29, 45, 22, 27, 5, , 2, 2018
5/30, 55, 34, 28, 3, 1, 2, 2018
5/31, 41, 23, 26, 4, , 1, 2018
6/1, 26, 21, 23, 8, 1, 1, 2018
6/2, 26, 21, 22, 11, 1, 2, 2018
6/3, 39, 23, 27, 4, , 1, 2018
6/4, 36, , 28, 4, 1, 1, 2018
6/5, 42, , 26, 4, 1, 1, 2018
6/6, 35, , 28, 4, 1, 2, 2018
6/7, 26, , 31, 4, 1, 2, 2018
6/8, 21, , 24, 4, 3, 2, 2018
6/9, 18, , 27, 2, , 2, 2018
6/10, 17, , 24, 4, 1, 2, 2018
6/11, 24, , 18, 6, 1, 2, 2018
6/12, 26, , 26, 7, 1, 3, 2018
6/13, 37, , 22, 4, 1, 2, 2018
6/14, 34, , 20, 2, 1, 1, 2018
6/15, 36, , 24, 2, 1, 2, 2018
6/16, 39, , 26, 3, 1, 2, 2018
6/17, 28, , 25, 1, , 1, 2018
6/18, 25, , 29, 3, , 2, 2018
6/19, 22, , 25, 3, , 1, 2018
6/20, 14, , 22, 3, 1, 1, 2018
6/21, 19, , 19, 3, , 1, 2018
6/22, 20, , 19, 4, 1, 2, 2018
6/23, 37, , 19, 7, 1, 2, 2018
6/24, 53, , 28, 3, , 2, 2018
6/25, 40, , 25, 3, , 1, 2018
6/26, 27, , 24, 2, , 1, 2018
6/27, 48, , 24, 2, 1, 2, 2018
6/28, 49, , 24, 3, 1, 2, 2018
6/29, 55, , 23, 5, 1, 2, 2018
6/30, 52, , 25, 6, , 2, 2018
7/1, 48, , 23, 2, , 1, 2018
1/2, 71, , 7, 31, , 7, 2018
1/3, 80, , 1, 33, , 8, 2018
1/4, 110, , 15, 20, , 5, 2018
1/5, 59, , 24, 14, , 4, 2018
1/6, 27, , 20, 12, , 4, 2018
1/7, 29, , 4, 17, , 5, 2018
1/8, 47, , 3, 19, , 6, 2018
1/9, 38, , 24, 10, , 3, 2018
1/10, 31, , 22, 13, , 3, 2018
1/11, 32, , 12, 18, , 4, 2018
1/12, 53, , 11, 17, , 4, 2018
1/13, 48, , 13, 16, , 4, 2018
1/14, 51, , 9, 15, , 3, 2018
1/15, 72, , 14, 16, , 4, 2018
1/16, 79, , 7, 21, , 5, 2018
1/17, 69, , 9, 16, , 4, 2018
1/18, 72, , 25, 15, , 4, 2018
1/19, 67, , 24, 13, , 3, 2018
1/20, 32, , 21, 13, , 3, 2018
1/21, 37, , 27, 14, , 4, 2018
1/22, 44, , 25, 11, , 3, 2018
1/23, 30, , 16, 18, , 4, 2018
1/24, 40, , 26, 15, , 4, 2018
1/25, 39, , 26, 15, , 4, 2018
1/26, 31, , 21, 18, , 4, 2018
1/27, 40, , 20, 14, , 4, 2018
1/28, 29, , 17, 13, , 3, 2018
1/29, 32, , 10, 22, , 5, 2018
1/30, 58, , 11, 19, , 5, 2018
1/31, 49, , 10, 21, , 6, 2018
2/1, 59, , 12, 26, , 8, 2018
2/2, 50, , 11, 29, , 8, 2018
2/3, 50, , 21, 24, , 7, 2018
2/4, 48, , 17, 21, , 7, 2018
2/5, 41, , 11, 24, , 7, 2018
2/6, 58, , 27, 23, , 5, 2018
2/7, 42, , 24, 27, , 6, 2018
2/8, 52, , 21, 28, , 7, 2018
2/9, 82, , 16, 25, , 6, 2018
2/10, 55, , 29, 11, , 4, 2018
2/11, 37, , 27, 11, , 4, 2018
2/12, 35, , 23, 9, , 3, 2018
2/13, 25, , 23, 14, , 4, 2018
2/14, 28, , 26, 19, , 5, 2018
2/15, 43, , 25, 15, , 4, 2018
2/16, 34, , 19, 21, , 6, 2018
2/17, 53, , 21, 16, , 6, 2018
2/18, 46, , 31, 2, , 4, 2018
2/19, 27, , 28, 4, , 4, 2018
2/21, 29, , 26, 12, , 4, 2018
2/22, 35, , 28, 6, , 2, 2018
2/23, 29, , 24, 10, , 2, 2018
2/24, 31, , 27, 13, , 3, 2018
2/25, 34, , 27, 7, , 2, 2018
2/26, 29, , 27, 6, , 2, 2018
2/27, 24, , 26, 9, , 2, 2018
2/28, 22, , 23, 11, , 2, 2018
3/1, 33, 1, 30, 4, 40, 2, 2018
3/2, 22, , 26, 10, , 2, 2018
3/3, 23, , 28, 8, , 2, 2018
3/4, 27, , 26, 10, , 2, 2018
3/5, 21, , 23, 14, , 2, 2018
3/6, 27, , 22, 22, , 4, 2018
3/7, 32, , 32, 20, , 3, 2018
3/8, 38, , 20, 12, , 3, 2018
3/9, 25, , 19, 11, , 2, 2018
3/10, 16, , 15, 13, , 3, 2018
3/11, 27, , 22, 10, , 3, 2018
3/12, 42, , 17, 13, , 3, 2018
3/13, 31, , 28, 5, , 2, 2018
3/14, 12, , 29, 10, , 3, 2018
3/15, 20, , 28, 16, , 3, 2018
3/16, 23, , 26, 9, , 2, 2018
3/17, 23, , 26, 12, , 2, 2018
3/18, 24, , 20, 14, , 3, 2018
3/19, 36, , 18, 17, , 3, 2018
3/20, 35, , 21, 17, , 3, 2018
3/21, 31, , 21, 8, , 2, 2018
3/22, 17, , 29, 4, , 2, 2018
3/23, 22, , 27, 10, , 2, 2018
3/24, 31, , 29, 5, , 2, 2018
3/25, 33, , 26, 9, , 3, 2018
3/26, 32, , 22, 11, , 3, 2018
3/27, 30, , 21, 14, , 3, 2018
3/28, 40, , 27, 14, , 4, 2018
3/29, 49, , 30, 17, , 4, 2018
3/30, 51, , 30, 21, , 5, 2018
3/31, 49, , 24, 6, , 3, 2018
4/1, 40, , 32, 4, , 3, 2018
10/2, 48, , 22, 12, , 3, 2017
10/3, 41, , 19, 11, , 3, 2017
10/4, 42, , 19, 13, , 4, 2017
10/5, 34, , 20, 18, , 4, 2017
10/6, 32, , 20, 23, , 5, 2017
10/7, 45, , 20, 10, , 4, 2017
10/8, 54, , 23, 8, , 3, 2017
10/9, 53, , 30, 15, , 6, 2017
10/10, 92, , 24, 22, , 8, 2017
10/11, 102, , 18, 13, , 5, 2017
10/12, 75, , 23, 21, , 8, 2017
10/13, 127, , 24, 19, , 7, 2017
10/14, 92, , 26, 16, , 6, 2017
10/15, 76, , 27, 21, , 6, 2017
10/16, 37, , 27, 34, , 8, 2017
10/17, 73, , 19, 31, , 9, 2017
10/18, 87, , 19, 9, , 4, 2017
10/19, 40, , 24, 3, , 3, 2017
10/20, 12, , 21, 7, , 4, 2017
10/21, 21, , 19, 10, , 5, 2017
10/22, 22, , 16, 14, , 6, 2017
10/23, 30, , 15, 29, , 9, 2017
10/24, 33, , 21, 33, , 8, 2017
10/25, 37, , 38, 30, , 8, 2017
10/26, 45, , 34, 28, , 8, 2017
10/27, 51, , 25, 23, , 7, 2017
10/28, 27, , 22, 6, , 4, 2017
11/1, 43, , 27, 15, , 4, 2017
11/2, 43, , 26, 16, , 3, 2017
11/3, 45, , 28, 11, , 2, 2017
11/4, 36, , 30, 5, , 2, 2017
11/5, 28, , 30, 5, , 2, 2017
11/6, 18, , 27, 16, , 3, 2017
11/7, 24, , 24, 24, , 4, 2017
11/8, 38, , 23, 18, , 4, 2017
11/9, 38, , 29, 8, , 3, 2017
11/10, 21, , 25, 12, , 3, 2017
11/11, 25, , 24, 9, , 2, 2017
11/12, 31, , 25, 12, , 3, 2017
11/13, 26, , 23, 12, , 3, 2017
11/14, 23, , 21, 16, , 3, 2017
11/15, 31, , 25, 13, , 3, 2017
11/16, 28, , 32, 8, , 3, 2017
11/17, 23, , 26, 13, , 3, 2017
11/18, 26, , 19, 21, , 5, 2017
11/19, 43, , 20, 17, , 5, 2017
11/20, 57, , 7, 27, , 6, 2017
11/21, 73, , 13, 18, , 5, 2017
11/22, 62, , 11, 20, , 6, 2017
11/23, 67, , 6, 16, , 5, 2017
11/24, 55, , 14, 13, , 4, 2017
11/25, 23, , 15, 17, , 5, 2017
11/26, 39, , 7, 4, , 12, 2017
11/27, 23, , 31, 12, , 6, 2017
11/28, 29, , 12, 19, , 4, 2017
11/29, 40, , 13, 22, , 5, 2017
11/30, 41, , 12, 19, , 4, 2017
12/1, 45, , 10, 21, , 6, 2017
12/2, 55, , 23, 15, , 4, 2017
12/3, 63, , 27, 6, , 2, 2017
12/4, 29, , 25, 8, , 2, 2017
12/5, 25, , 20, 21, , 3, 2017
